Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
211,Gerard Perrier Industrie SA,$338.2 M,France,French Industrials,French Electrical Equipment & Parts,
212,Sidetrade,$334.4 M,France,French Technology,French Software—Application,
213,Groupe Gorgé SA,$330.7 M,France,French Technology,French Scientific & Technical Instruments,
214,Caisse Regionale De Credit Agricole Mutuel Toulouse 31,$327.8 M,France,French Financials,French Banks—Regional,
215,Exel Industries,$323.2 M,France,French Industrials,French Farm & Heavy Construction Machinery,
216,Umanis SA,"$323.1 M  (July 1, 2022)",France,French Technology,French Information Technology Services,
217,GPE Groupe Pizzorno,$321.7 M,France,French Industrials,French Waste Management,
218,ABC arbitrage SA,$320.1 M,France,French Financials,French Asset Management,
219,Envea,"$314.2 M  (March 1, 2022)",France,French Technology,French Scientific & Technical Instruments,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
220,NHOA SA,"$313.9 M  (July 1, 2024)",France,French Industrials,French Specialty Industrial Machinery,
221,Artefact SA,"$302.0 M  (Dec. 1, 2021)",France,French Communication Services,French Advertising Agencies,
222,Groupe Open,"$297.8 M  (April 1, 2022)",France,French Technology,French Information Technology Services,
223,Bourrelier Group SA,$294.5 M,France,French Consumer Discretionary,French Home Improvement Retail,
224,IGE + XAO,"$286.8 M  (May 1, 2022)",France,French Technology,French Software—Application,
225,Caisse Regionale de Credit Agricole Mutuel Nord de France,"$284.9 M  (May 1, 2023)",France,French Financials,French Banks—Regional,
226,Infotel SA,$284.1 M,France,French Technology,French Information Technology Services,
227,Gaumont SA,$270.6 M,France,French Communication Services,French Entertainment,
228,Eurobio Scientific SA,$264.5 M,France,French Healthcare,French Diagnostics & Research,
229,Figeac Aero SA,$259.9 M,France,French Industrials,French Aerospace & Defense,
230,SMCP SA,$259.6 M,France,French Consumer Discretionary,French Apparel Retail,
