Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap ( Billion USD)
163,TFF Group,$645.2 M,France,French Consumer Discretionary,French Packaging & Containers,,645200000.0
164,Kaufman & Broad SA,$642.8 M,France,French Consumer Discretionary,French Residential Construction,,642800000.0
165,Credit Agricole Atlantique Vendee,$638.0 M,France,French Financials,French Banks—Regional,,638000000.0
166,Quadient SA,$632.4 M,France,French Technology,French Software—Application,,632400000.0
167,Tessi SA,"$625.4 M  (Nov. 1, 2021)",France,French Technology,French Information Technology Services,,625400000.0
168,Manitou BF SA,$625.1 M,France,French Industrials,French Specialty Industrial Machinery,,625100000.0
169,Pharmagest Interactive SA,$616.7 M,France,French Healthcare,French Health Information Services,,616700000.0
170,Séché Environnement SA,$613.6 M,France,French Industrials,French Waste Management,,613600000.0
171,Oeneo SA,$606.5 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,606500000.0
172,Laurent-Perrier,$604.7 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,604700000.0
173,Aubay SA,$594.3 M,France,French Technology,French Information Technology Services,,594300000.0
174,Credit Regionale de Credit Agricole Mutuel Sud Rhone Alpes,$580.0 M,France,French Financials,French Banks—Regional,,580000000.0
175,Burelle SA,$578.2 M,France,French Consumer Discretionary,French Auto Parts,,578200000.0
176,GL Events SA,$572.5 M,France,French Industrials,French Specialty Business Services,,572500000.0
177,NRJ Group,$563.8 M,France,French Communication Services,French Broadcasting,,563800000.0
178,Assystem SA,$559.7 M,France,French Industrials,French Engineering & Construction,,559700000.0
179,ABIVAX SA,$535.9 M,France,French Healthcare,French Biotechnology,,535900000.0
180,Groupe Guillin,$532.8 M,France,French Consumer Discretionary,French Packaging & Containers,,532799999.99999994
181,Caisse Regionale de Credit Agricole Mutuel de Normandie-Seine,$532.2 M,France,French Financials,French Banks—Regional,,532200000.00000006
182,Samse SA,$527.8 M,France,French Industrials,French Industrial Distribution,,527799999.99999994
183,Voyageurs du Monde,$510.8 M,France,French Consumer Discretionary,French Travel Services,,510800000.0
184,IDI SCA,$509.2 M,France,French Financials,French Asset Management,,509200000.0
185,Mersen SA,$505.2 M,France,French Industrials,French Electrical Equipment & Parts,,505200000.0
186,Credit Agricole Loire Haute-Loire,$504.4 M,France,French Financials,French Banks—Regional,,504400000.0
187,MedinCell SA,$498.3 M,France,French Healthcare,French Biotechnology,,498300000.0
188,Caisse Regionale de Credit Agricole Mutuel de la Touraine et du Poitou,$487.6 M,France,French Financials,French Banks—Regional,,487600000.0
189,Galimmo SA,"$477.4 M  (July 1, 2024)",France,French Real Estate,French Real Estate—Diversified,,477400000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
190,Marie Brizard Wine & Spirits SA,$457.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,457600000.0
191,Boiron SA,$451.6 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,,451600000.0
192,Fiducial Real Estate SA,$444.6 M,France,French Real Estate,French Real Estate Services,,444600000.0
193,Linedata Services SA,$442.5 M,France,French Technology,French Software—Application,,442500000.0
194,Caisse Regionale de Credit Agricole Mutuel d'Ille-et-Vilaine,$429.9 M,France,French Financials,French Banks—Regional,,429900000.0
195,Roche Bobois SA,$424.7 M,France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",,424700000.0
196,Atos SE,$391.2 M,France,French Technology,French Information Technology Services,,391200000.0
197,Fonciere INEA,$387.2 M,France,French Real Estate,French REIT—Office,,387200000.0
198,Malteries Franco Belges,$376.7 M,France,French Consumer Staples,French Beverages—Brewers,,376700000.0
199,Union Financière de France Banque SA,"$369.9 M  (Feb. 1, 2023)",France,French Financials,French Asset Management,,369900000.0
200,Valneva SE,$369.7 M,France,French Healthcare,French Biotechnology,,369700000.0
201,Selectirente,$364.0 M,France,French Real Estate,French REIT—Retail,,364000000.0
202,Immobiliere Dassault SA,$363.5 M,France,French Real Estate,French REIT—Diversified,,363500000.0
203,Caisse Regionale de Credit Agricole du Morbihan,$357.5 M,France,French Financials,French Banks—Regional,,357500000.0
204,Jacquet Metal Service SA,$357.5 M,France,French Basic Materials,French Steel,,357500000.0
205,Guerbet SA,$352.8 M,France,French Healthcare,French Medical Devices,,352800000.0
206,CGG,$352.2 M,France,French Energy,French Oil & Gas Equipment & Services,,352200000.0
207,Hopium SA,"$348.9 M  (Jan. 1, 2022)",France,French Consumer Discretionary,French Auto Manufacturers,,348900000.0
208,Olympique Lyonnais Groupe SA,$345.2 M,France,French Consumer Discretionary,French Leisure,,345200000.0
209,Clasquin,$343.8 M,France,French Industrials,French Integrated Freight & Logistics,,343800000.0
210,Patrimoine et Commerce,$340.9 M,France,French Real Estate,French REIT—Diversified,,340900000.0
211,Gerard Perrier Industrie SA,$338.2 M,France,French Industrials,French Electrical Equipment & Parts,,338200000.0
212,Sidetrade,$334.4 M,France,French Technology,French Software—Application,,334400000.0
213,Groupe Gorgé SA,$330.7 M,France,French Technology,French Scientific & Technical Instruments,,330700000.0
214,Caisse Regionale De Credit Agricole Mutuel Toulouse 31,$327.8 M,France,French Financials,French Banks—Regional,,327800000.0
215,Exel Industries,$323.2 M,France,French Industrials,French Farm & Heavy Construction Machinery,,323200000.0
216,Umanis SA,"$323.1 M  (July 1, 2022)",France,French Technology,French Information Technology Services,,323100000.0
217,GPE Groupe Pizzorno,$321.7 M,France,French Industrials,French Waste Management,,321700000.0
218,ABC arbitrage SA,$320.1 M,France,French Financials,French Asset Management,,320100000.0
219,Envea,"$314.2 M  (March 1, 2022)",France,French Technology,French Scientific & Technical Instruments,,314200000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
220,NHOA SA,"$313.9 M  (July 1, 2024)",France,French Industrials,French Specialty Industrial Machinery,,313900000.0
221,Artefact SA,"$302.0 M  (Dec. 1, 2021)",France,French Communication Services,French Advertising Agencies,,302000000.0
222,Groupe Open,"$297.8 M  (April 1, 2022)",France,French Technology,French Information Technology Services,,297800000.0
223,Bourrelier Group SA,$294.5 M,France,French Consumer Discretionary,French Home Improvement Retail,,294500000.0
224,IGE + XAO,"$286.8 M  (May 1, 2022)",France,French Technology,French Software—Application,,286800000.0
225,Caisse Regionale de Credit Agricole Mutuel Nord de France,"$284.9 M  (May 1, 2023)",France,French Financials,French Banks—Regional,,284900000.0
226,Infotel SA,$284.1 M,France,French Technology,French Information Technology Services,,284100000.0
227,Gaumont SA,$270.6 M,France,French Communication Services,French Entertainment,,270600000.0
228,Eurobio Scientific SA,$264.5 M,France,French Healthcare,French Diagnostics & Research,,264500000.0
229,Figeac Aero SA,$259.9 M,France,French Industrials,French Aerospace & Defense,,259899999.99999997
230,SMCP SA,$259.6 M,France,French Consumer Discretionary,French Apparel Retail,,259600000.00000003
231,Bourse Direct,$258.8 M,France,French Financials,French Capital Markets,,258800000.0
232,EURO Ressources SA,"$251.9 M  (Jan. 1, 2024)",France,French Basic Materials,French Gold,,251900000.0
233,Societe Fermiere du Casino Municipal de Cannes,$242.8 M,France,French Consumer Discretionary,French Resorts & Casinos,,242800000.0
234,Lanson-BCC,$239.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,239600000.0
235,LNA Santé SA,$236.1 M,France,French Healthcare,French Medical Care Facilities,,236100000.0
236,Volta Finance Ltd,$232.2 M,France,French Financials,French Asset Management,,232200000.0
237,Generix Group SADIR,"$223.7 M  (Aug. 1, 2022)",France,French Technology,French Software—Application,,223700000.0
238,AKWEL,$218.5 M,France,French Consumer Discretionary,French Auto Parts,,218500000.0
239,Alan Allman Associates,$216.1 M,France,French Industrials,French Consulting Services,,216100000.0
240,Sensorion SA,$215.5 M,France,French Healthcare,French Biotechnology,,215500000.0
241,Inventiva SA,$215.3 M,France,French Healthcare,French Biotechnology,,215300000.0
242,Bonduelle SCA,$214.5 M,France,French Consumer Staples,French Packaged Foods,,214500000.0
243,Nextstage SCA,"$212.8 M  (Oct. 1, 2022)",France,French Financials,French Asset Management,,212800000.0
244,Lumibird SA,$210.6 M,France,French Healthcare,French Diagnostics & Research,,210600000.0
245,Groupe Partouche SA,$208.1 M,France,French Consumer Discretionary,French Resorts & Casinos,,208100000.0
246,Fonciere Atland,$198.8 M,France,French Real Estate,French REIT—Diversified,,198800000.0
247,SQLI SA,"$197.3 M  (July 1, 2024)",France,French Technology,French Information Technology Services,,197300000.0
248,Groupe SFPI SA,$185.1 M,France,French Industrials,French Specialty Industrial Machinery,,185100000.0
249,EVOLIS,"$181.2 M  (July 1, 2023)",France,French Technology,French Computer Hardware,,181200000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
250,Fountaine Pajot SA,$179.5 M,France,French Consumer Discretionary,French Leisure,,179500000.0
251,Genfit SA,$172.4 M,France,French Healthcare,French Biotechnology,,172400000.0
252,Bleecker SA,$169.7 M,France,French Real Estate,French REIT—Diversified,,169700000.0
253,Société Marseillaise du Tunnel Prado Carénage,$167.6 M,France,French Industrials,French Infrastructure Operations,,167600000.0
254,Bastide Le Confort Médical SA,$167.2 M,France,French Healthcare,French Medical Distribution,,167200000.0
255,Catana Group SA,$165.7 M,France,French Consumer Discretionary,French Leisure,,165700000.0
256,Biocorp Production,"$165.7 M  (July 1, 2023)",France,French Healthcare,French Medical Devices,,165700000.0
257,Cellectis SA,$163.4 M,France,French Healthcare,French Biotechnology,,163400000.0
258,Amplitude Surgical SA,$162.7 M,France,French Healthcare,French Medical Instruments & Supplies,,162700000.0
259,Nanobiotix SA,$159.3 M,France,French Healthcare,French Biotechnology,,159300000.0
260,Maisons du Monde SA,$157.1 M,France,French Consumer Discretionary,French Home Improvement Retail,,157100000.0
261,Innate Pharma SA,$156.2 M,France,French Healthcare,French Biotechnology,,156200000.0
262,Cegedim SA,$155.5 M,France,French Healthcare,French Health Information Services,,155500000.0
263,OSE Immunotherapeutics SA,$155.2 M,France,French Healthcare,French Biotechnology,,155200000.0
264,Foraco International SA,$154.2 M,France,French Basic Materials,French Other Industrial Metals & Mining,,154200000.0
265,Parrot SA,$153.4 M,France,French Technology,French Communication Equipment,,153400000.0
